api_spot_id,receive,type
2714611,0.0,SPOT
2363553,0.0,SPOT
2611154,0.0,SPOT
2703718,0.0,SPOT
128920,0.0,SPOT
2032450,0.0,SPOT
3350811,0.0,SPOT
2769571,0.0,SPOT
3440844,0.0,SPOT
294489,0.0,SPOT
2783788,0.0,SPOT
2570295,0.0,SPOT
2774598,0.0,SPOT
2714725,0.0,SPOT
2733966,0.0,SPOT
1890152,0.0,SPOT
3015782,0.0,SPOT
126756,0.0,SPOT
3008543,0.0,SPOT
126283,0.0,SPOT
129151,0.0,SPOT
988129,0.0,SPOT
2723663,0.0,SPOT
2714723,0.0,SPOT
636266,0.0,SPOT
2784238,0.0,SPOT
2768188,0.0,SPOT
1704748,0.0,SPOT
2752372,0.0,SPOT
2758868,0.0,SPOT
2508988,0.0,SPOT
2784264,0.0,SPOT
2781820,0.0,SPOT
128256,0.0,SPOT
1918646,0.0,SPOT
127530,0.0,SPOT
128607,0.0,SPOT
2768207,0.0,SPOT
1619630,0.0,SPOT
128396,0.0,SPOT
1350278,0.0,SPOT
2638488,0.0,SPOT
538485,0.0,SPOT
127726,0.0,SPOT
793359,0.0,SPOT
1350326,0.0,SPOT
2031645,0.0,SPOT
538480,0.0,SPOT
2787084,0.0,SPOT
793418,0.0,SPOT
2704694,0.0,SPOT
2750703,0.0,SPOT
3007738,0.0,SPOT
3344859,0.0,SPOT
127256,0.0,SPOT
2756599,0.0,SPOT
249970,0.0,SPOT
126972,0.0,SPOT
127938,0.0,SPOT
126224,0.0,SPOT
127966,0.0,SPOT
2717293,0.0,SPOT
1846020,0.0,SPOT
2717294,0.0,SPOT
2414648,0.0,SPOT
2648073,0.0,SPOT
2755024,0.0,SPOT
127725,0.0,SPOT
126582,0.0,SPOT
2388680,0.0,SPOT
2755033,0.0,SPOT
2761551,0.0,SPOT
2815810,0.0,SPOT
127266,0.0,SPOT
128033,0.0,SPOT
2758318,0.0,SPOT
129592,0.0,SPOT
126784,0.0,SPOT
125714,0.0,SPOT
